name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
/atom/movable/screen/plane_master/rendering_plate/game_world/Initialize,code/_onclick/hud/rendering/render_plate.dm,43,1373765.0,0.002358,66,21216,16851,56766,6170.976129
/atom/movable/screen/proc/fill_rect,code/_onclick/hud/map_popups.dm,92,299139.0,0.000504,65,4602,2986,19285,2066.069158
/atom/movable/screen/pull/update_icon,code/_onclick/hud/screen_objects.dm,457,1523.0,0.000003,1,1563,1563,1563,0.000000
/atom/movable/screen/storage/proc/update_fullness,code/_onclick/hud/screen_objects.dm,136,83237.0,0.000144,22,3893,3156,4519,311.168229
/atom/movable/screen/zone_sel/update_icon,code/_onclick/hud/screen_objects.dm,163,56726.0,0.000088,1,52207,52207,52207,0.000000
/atom/movable/set_opacity,code/modules/lighting/lighting_atom.dm,68,13572686.0,0.022695,972,13868,762,49042,12802.170736
/atom/movable/vehicle_light_holder/Initialize,code/modules/vehicles/multitile/multitile.dm,459,138879.0,0.000265,1,157114,157114,157114,0.000000
/atom/proc/Decorate,code/controllers/subsystem/decorator.dm,6,1250603533.0,2.105616,981698,1273,410,253734,598.848533
/atom/proc/GetAllContents,code/__HELPERS/unsorted.dm,569,4955813.0,0.008732,1141,4545,581,192330,16062.483319
/atom/proc/Initialize,code/game/atoms.dm,399,733020182.0,1.234147,165450,4430,2826,68909,2410.612147
/atom/proc/LateInitialize,code/game/atoms.dm,425,2289953.0,0.003947,9877,237,160,12343,242.307987
/atom/proc/add_filter,code/game/atoms.dm,543,9290244.0,0.015641,700,13271,6241,43371,6445.130585
/atom/proc/apply_transform,code/game/atoms.dm,162,3599026.0,0.005804,525,6566,4679,20479,1392.227163
/atom/proc/balloon_alert_to_viewers,code/datums/balloon_alerts/balloon_alerts.dm,32,2480543.0,0.003946,10,234370,175238,380010,70411.760315
/atom/proc/connect_to_shuttle,code/game/atoms.dm,529,620577.0,0.001054,2919,214,180,11571,226.639682
/atom/proc/contents_recursive,code/__HELPERS/lists.dm,567,154760.0,0.000278,81,2035,781,4008,1064.630998
/atom/proc/create_reagents,code/modules/reagents/Chemistry-Holder.dm,855,59920688.0,0.102614,14318,4256,2846,101099,1839.856432
/atom/proc/handle_icon_junction,code/game/smoothwall.dm,53,63132.0,0.000122,219,330,160,12494,831.885583
/atom/proc/initialize_pass_flags,code/game/atoms.dm,485,182536290.0,0.305722,830242,218,150,43231,227.290124
/atom/proc/is_open_container,code/game/atoms.dm,189,241379.0,0.000390,453,510,340,1293,83.823165
/atom/proc/langchat_make_image,code/datums/langchat/langchat.dm,61,339253.0,0.000571,25,13570,10209,26269,3326.737071
/atom/proc/on_reagent_change,code/game/atoms.dm,183,2550422.0,0.004331,10086,255,160,13896,196.482793
/atom/proc/on_stored_atom_del,code/game/atoms.dm,388,3462397.0,0.005909,13157,266,180,33232,370.783590
/atom/proc/relativewall,code/game/smoothwall.dm,10,52728937.0,0.087220,2120,24436,7003,70923,10008.808630
/atom/proc/relativewall_neighbours,code/game/smoothwall.dm,33,97025843.0,0.162784,3729,25927,5230,142166,17909.127849
/atom/proc/setDir,code/game/atoms.dm,537,8686032.0,0.014624,5161,1683,501,433280,8665.835858
/atom/proc/set_light,code/modules/lighting/lighting_atom.dm,6,65007913.0,0.109451,3044,21356,3758,312864,13225.559865
/atom/proc/set_light_color,code/modules/lighting/lighting_atom.dm,157,12488087.0,0.021026,1650,7568,1592,32861,2657.022985
/atom/proc/set_light_on,code/modules/lighting/lighting_atom.dm,165,3488882.0,0.005733,1829,1861,451,200555,13302.744261
/atom/proc/set_light_power,code/modules/lighting/lighting_atom.dm,149,9588.0,0.000016,1,9588,9588,9588,0.000000
/atom/proc/set_light_range,code/modules/lighting/lighting_atom.dm,141,59000.0,0.000098,1,58328,58328,58328,0.000000
/atom/proc/set_opacity,code/modules/lighting/lighting_atom.dm,60,1633486.0,0.002753,1255,1302,280,20969,1561.158316
/atom/proc/shuttleRotate,code/modules/shuttle/shuttle_rotate.dm,10,14909437.0,0.025518,690,21965,2415,140473,33440.208991
/atom/proc/static_update_light,code/modules/lighting/lighting_static/static_lighting_atom.dm,10,79576141.0,0.134266,4437,17973,1482,257160,9694.596847
/atom/proc/turn_light,code/game/atoms.dm,675,2616863.0,0.004566,94,28853,1453,100238,28562.589856
/atom/proc/update_filters,code/game/atoms.dm,550,7440208.0,0.012527,700,10628,4448,41087,6346.917865
/atom/proc/update_light,code/modules/lighting/lighting_atom.dm,33,84716151.0,0.142769,4441,19094,2164,309398,11149.190291
/atom/proc/visible_message,code/modules/mob/mob.dm,197,1885544.0,0.003409,44,46022,17403,109244,19387.617380
/database/query/New,<?.dm>,4294967295,18714.0,0.000034,4,4984,2835,5971,1446.517081
/database/query/proc/Columns,<?.dm>,4294967295,19978.0,0.000041,4,6091,2234,12072,4240.420537
/database/query/proc/Execute,<?.dm>,4294967295,1299416.0,0.002157,4,320358,24055,1094766,516981.779511
/database/query/proc/GetRowData,<?.dm>,4294967295,1734.0,0.000003,1,2003,2003,2003,0.000000
/database/query/proc/NextRow,<?.dm>,4294967295,17052.0,0.000030,4,4443,2926,5580,1128.190144
/database/query/proc/RowsAffected,<?.dm>,4294967295,2346.0,0.000004,4,586,501,782,131.405226
/datum/action/Destroy,code/datums/action.dm,38,28093052.0,0.047842,886,32071,25437,64410,5022.700114
/datum/action/New,code/datums/action.dm,24,143349265.0,0.241394,5511,26016,17292,832295,12686.795816
/datum/action/item_action/Destroy,code/datums/action.dm,208,29759594.0,0.050703,886,33989,26940,67015,5174.664576
/datum/action/item_action/New,code/datums/action.dm,197,224055965.0,0.377231,5511,40656,20989,866759,14848.945870
/datum/action/item_action/bipod/toggle_full_auto_switch/New,code/modules/projectiles/gun_attachables.dm,4082,704849.0,0.001254,16,46532,40506,56786,4204.319572
/datum/action/item_action/co_sg/toggle_id_lock/New,code/modules/projectiles/guns/smartgun.dm,866,67978.0,0.000135,2,39960,30337,49583,13608.977111
/datum/action/item_action/co_sg/update_button_icon,code/modules/projectiles/guns/smartgun.dm,863,621.0,0.000001,2,300,291,310,13.453624
/datum/action/item_action/cycle_helmet_huds/New,code/modules/clothing/head/helmet.dm,843,2389026.0,0.004254,50,50529,37691,75892,9829.653324
